user_id,email_id,email_type,email_decision,shift_id,num_of_trails,now_stock_value,event_type,event_detail_int,event_detail_str,action_timestamp
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,LinkHovering,0,0,30/3/2023 15:07:40
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StartGazing,0,FromText,30/3/2023 15:07:43
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StartGazing,0,ToText,30/3/2023 15:07:44
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StopGazing,0,ToText,30/3/2023 15:07:44
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StopGazing,0,AttachmentSlot,30/3/2023 15:07:44
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StartGazing,0,ContentText,30/3/2023 15:07:44
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StopGazing,0,ContentText,30/3/2023 15:07:44
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,notLinkHovering,0,0,30/3/2023 15:07:45
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StartGazing,0,AttachmentSlot,30/3/2023 15:07:45
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StopGazing,0,FromText,30/3/2023 15:07:47
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StopGazing,0,FromText,30/3/2023 15:07:47
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StartGazing,0,BlockButton,30/3/2023 15:07:48
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StopGazing,0,ToText,30/3/2023 15:07:49
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,LinkHovering,0,0,30/3/2023 15:07:49
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StopGazing,0,SubjectText,30/3/2023 15:07:49
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StartGazing,0,FromText,30/3/2023 15:07:49
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,750,StopGazing,0,ContentText,30/3/2023 15:07:50
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,650,StopGazing,0,BlockButton,30/3/2023 15:07:50
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,SubjectText,30/3/2023 15:07:50
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,notLinkHovering,0,0,30/3/2023 15:07:51
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,ToText,30/3/2023 15:07:51
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StopGazing,0,FromText,30/3/2023 15:07:52
8fxa0ua8yzavaz5z0xjr,ID81,trustedInternal,0,5,0,750,StartGazing,0,ContentText,30/3/2023 15:07:52
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,SubjectText,30/3/2023 15:07:53
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,ContentText,30/3/2023 15:07:53
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StopGazing,0,ContentText,30/3/2023 15:07:53
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,FromText,30/3/2023 15:07:54
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StopGazing,0,ToText,30/3/2023 15:07:54
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StopGazing,0,SubjectText,30/3/2023 15:07:54
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StopGazing,0,ToText,30/3/2023 15:07:54
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,FromText,30/3/2023 15:07:55
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,ToText,30/3/2023 15:07:56
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,LinkHovering,0,0,30/3/2023 15:07:56
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StopGazing,0,FromText,30/3/2023 15:07:56
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,FromText,30/3/2023 15:07:56
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,AllowButton,30/3/2023 15:07:58
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,ToText,30/3/2023 15:07:58
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,notLinkHovering,0,0,30/3/2023 15:07:58
8fxa0ua8yzavaz5z0xjr,ID92,trustedInternal,0,5,0,750,StartGazing,0,ToText,30/3/2023 15:07:59
